City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,salamanca,40.8333,-6.0,281.34,78,11,3.46,ES,1684027777
262,malango,-2.9627,119.9001,300.23,62,13,1.23,ID,1684027901
263,concepcion,-36.827,-73.0498,286.04,100,99,1.54,CL,1684027728
264,necochea,-38.5473,-58.7368,285.28,64,94,4.69,AR,1684027806
265,koungheul,13.9833,-14.8,300.85,45,45,3.88,SN,1684027902
266,bac lieu,9.285,105.7244,304.24,64,24,3.99,VN,1684027902
267,orita eruwa,7.55,3.4333,297.7,93,100,1.78,NG,1684027903
268,weno,7.4515,151.8468,301.8,76,100,2.63,FM,1684027903
269,slavske,48.8473,23.4459,277.82,94,15,1.05,UA,1684027903
270,lagunas,-5.2269,-75.6753,295.84,98,31,1.41,PE,1684027904
271,puerto baquerizo moreno,-0.9,-89.6,299.2,81,58,5.92,EC,1684027904
272,khenchela,35.4358,7.1433,283.55,90,100,3.14,DZ,1684027904
273,guerrero negro,27.9769,-114.0611,288.96,80,0,7.78,MX,1684027905
274,sisimiut,66.9395,-53.6735,270.15,78,30,4.02,GL,1684027905
275,mossendjo,-2.9506,12.7261,294.74,99,87,0.33,CG,1684027906
276,ketchikan,55.3422,-131.6461,284.41,100,100,0.0,US,1684027906
277,chandia,23.65,80.7,305.22,14,2,2.22,IN,1684027907
278,naze,28.3667,129.4833,295.66,69,100,5.45,JP,1684027907
279,freetown,8.484,-13.2299,299.46,88,99,3.51,SL,1684027908
280,las heras,-46.5419,-68.9359,283.0,74,93,5.6,AR,1684027908
281,longjiang,47.3303,123.1836,296.84,12,30,6.41,CN,1684027908
282,sechura,-5.5569,-80.8222,299.01,71,1,5.95,PE,1684027909
283,lerma,42.0261,-3.7598,281.46,82,99,4.57,ES,1684027909
284,ibshaway,29.358,30.6814,290.35,72,100,5.03,EG,1684027909
285,solnechnyy,50.7214,136.6319,292.9,47,78,5.85,RU,1684027910
286,alnwick,55.4132,-1.7056,280.72,100,100,3.09,GB,1684027910
287,menaka,15.9182,2.4022,307.53,29,100,3.69,ML,1684027911
288,susuman,62.7833,148.1667,271.52,89,100,2.23,RU,1684027911
289,kertih,4.5141,103.4483,303.16,84,40,1.54,MY,1684027912
290,ta`u,-14.2336,-169.5144,300.99,71,12,2.35,AS,1684027912
291,ulverstone,-41.15,146.1667,286.33,84,77,0.85,AU,1684027913
292,sorong,-0.8833,131.25,302.47,72,11,4.06,ID,1684027913
293,suva,-18.1416,178.4415,298.86,78,75,4.63,FJ,1684027914
294,acarau,-2.8856,-40.12,299.26,85,45,4.14,BR,1684027914
295,karratha,-20.7377,116.8463,299.86,28,100,7.31,AU,1684027914
296,san andres,12.5847,-81.7006,302.16,70,40,5.14,CO,1684027683
297,dunedin,-45.8742,170.5036,284.85,79,77,1.87,NZ,1684027835
298,rio grande,-32.035,-52.0986,288.87,82,71,5.17,BR,1684027918
299,kalol,22.6,73.45,301.84,42,0,3.01,IN,1684027918
300,el kef,36.1742,8.7049,286.0,89,100,2.98,TN,1684027919
301,westport,41.1415,-73.3579,295.25,39,0,3.09,US,1684027919
302,guarapari,-20.6667,-40.4975,295.31,85,100,3.74,BR,1684027919
303,achikulak,44.5517,44.8378,284.24,84,100,1.08,RU,1684027920
304,vyksa,55.3175,42.1744,279.82,98,10,2.9,RU,1684027920
305,douglas,41.3,-96.167,298.64,56,75,2.57,US,1684027883
306,sultanah,24.4926,39.5857,302.4,13,0,1.54,SA,1684027921
